|BIQ_ID|Navn|Firma|Arbejdsområde|Retskreds||||
0|0|Vickie Agnethe Vipond Foged|Buch & Baruah Advokatfirma| Kolding||Kolding|||
4590|1563155|Vibeke Thinggaard|||||||
3540|691770|Vibeke Spanner|||||||
0|0|Vibeke Sestrup|"Advokat Svend Kinch,
Nakskov "||Nykøbing Falster||||
0|0|Vibeke Samuelsen|"Moltke-Leth Advokater, Aktieselskab,
København K "|Arv og dødsbo| fast ejendom-boligrådgivning/ ejendomsberigtigelse |København|||
0|0|Vibeke Rohde|"Gorrissen Federspiel Advokatfirma,
København V "||København||||
656|1884290|Vibeke Nordrehaug|||||||
6050|691588|Vibeke Merete Gamst|||||||
2166|1026254|Vibeke Kragh|||||||
1160|1043775|Vibeke Krag|||||||
0|0|Vibeke Klitbo|"Advokat Vibeke Klitbo,
Aarhus C "||Aarhus||||
0|0|Vibeke Haahr Antonsen|"Advokat Vibeke Haahr Antonsen,
Aarhus C "||Aarhus||||
0|0|Vibeke Holbøll|"Advokatfirmaet Jon Palle Buhl Advokataktieselskab,
København K "||København||||
4179|1720870|Vibeke Haislund|||||||
2659|691301|Vibeke Gross-Nielsen|||||||
0|0|Vibeke Forsberg|"Thyssen, Skovbo & Forsberg Advokater,
Vejle "|Arv og dødsbo| familieret- og personret| tvangsauktioner |Kolding||
0|0|Vibeke Fabricius Nordlander|"KAMMERADVOKATEN ADVOKATFIRMAET POUL SCHMITH,
København V "|IT-ret| kontraktsret| udbudsret |København||
0|0|Vibeke Borberg|"Plesner,
København Ø "|Plan- og miljøret| statsret |København|||
0|0|Vibeke Birgitta Bundgaard|"KAMMERADVOKATEN ADVOKATFIRMAET POUL SCHMITH,
København V "||København||||
0|0|Vibeke Beck Westergaard|"DAHL, Esbjerg Advokataktieselskab,
Esbjerg "|EU-udbud| offentlig ret| plan- og miljøret |Esbjerg||
0|0|Vibeke Asmin Hansen|"DAHL, Viborg,
Viborg "|Almennyttigt boligbyggeri| fast ejendom-boligrådgivning/ ejendomsberigtigelse| immaterialret |Viborg||
0|0|Vibeke Andersen|"Advodan Aalborg A/S,
Aalborg "|Erstatningsret| familieret- og personret| lejeret |Aalborg||
2019|16911680|Veronique Rebecca Judith Doucet|||||||
0|0|Veronica Petersen|"Advokataktieselskabet Horten,
Hellerup "|Lejeret| miljø og energi| procedure/ retssager |Lyngby||
5839|1823402|Veronica Hansen|||||||
5898|690894|Verner Skov Them|||||||
0|0|Verner Holm|"ADVODAN Vejen A/S,
Vejen "|Miljø og Energi| transportret| virksomhedsoverdragelse |Esbjerg||
5773|1458096|Verner Fuglsang Sørensen|||||||
0|0|Verner Ejerskov Sørensen|"Advokathuset Svendborg A/S,
Svendborg "||Svendborg||||
5812|713508|Vegar Normann Kulset|||||||
1794|1494785|Vari Isabel Cameron|||||||
1521|922367|Valdemar Phillip Maurice Boesgaard Trave Jenssen Laurberg|||||||
0|0|Valdemar Bandolowski|"Advokat Valdemar Bandolowski,
Dragør "||København||||
3544|917047|Vahid Daemi|||||||
0|689540|Vagn Thorup|"Kromann Reumert,
København Ø "|Erhvervsret| it-ret| selskabsret |København||
3027|689540|Vagn Thorup|||||||
5913|1001936|Vagn Thorsager|||||||
1854|689535|Vagn Thomsen Raun|||||||
0|0|Vagn Sanggaard Jakobsen|"Ladefoged Advokatfirma,
Ringsted "|Ansættelses- og arbejdsret| bestyrelsesarbejde| entrepriseret |Roskilde||
1349|1024983|Vagn Rasmussen|||||||
1781|689272|Vagn Ove Sørensen|||||||
5129|1702785|Vagn Møller Petersen|||||||
4920|689054|Vagn Lehd Møller|||||||
5259|688807|Vagn Holtegård Bach|||||||
3361|688699|Vagn Hansen Andersen|||||||
1853|688681|Vagn Hansen|||||||
2227|629192|Vagn Flink Møller Pedersen|||||||
1279|1678111|Vagn Erik Nielsen|||||||
2565|688457|Vagn Børge Lauridsen|||||||
0|0|Vagn Blindkilde|"Advokaterne i Rosenborggade v/Vagn Blindkilde,
København K "|Entrepriseret| selskabsret| virksomhedsoverdragelse |København||
0|688168|Uwe Teichert|"Focus Advokater,
Odense C "|Byggeri| insolvensret/ betalingsstandsning/ konkurs/ akkord| lejeret |Odense||
992|688168|Uwe Teichert|||||||
479|7383649|Uwe Heinz Gerhard Krause|||||||
5950|1751690|Uri Peleg|||||||
0|0|Uno Ternstrøm|"Advokatfirmaet Ternstrøm I/S,
Hedehusene "|Almen praksis| ejerlejligheder/ ejerlejlighedsforeninger| fast ejendom-boligrådgivning/ ejendomsberigtigelse |Glostrup||
0|0|Ulrik Worziger|"Advokat Ulrik Worziger,
Klampenborg "||Lyngby||||
3452|1883141|Ulrik Wolf Andersen|||||||
4993|687311|Ulrik Wilhelm Schümer|||||||
0|0|Ulrik Vestmar|"Ret & Råd, Hvidovre,
Hvidovre "||Glostrup||||
3905|1257255|Ulrik Tofte Jensen|||||||
3713|687744|Ulrik Salmonsen|||||||
0|0|Ulrik Rasmussen|"Advokatanpartsselskabet Ulrik Rasmussen,
København V "|Ansættelses- og arbejdsret| arbejdsmiljøret| lejeret |København||
5208|900328|Ulrik Pryds Petersen|||||||
0|0|Ulrik Nørregaard|"Vestervold Advokater,
København V "|Arv og dødsbo| bolighandel| selskabsret |København||
0|0|Ulrik Næser|"CA Advokatselskab A/S,
Aarhus C "|Økonomisk kriminalitet| selskabsret| strafferet |Aarhus||
3030|687697|Ulrik Nicolai Jungersen|||||||
0|0|Ulrik Møller|"Advokatfirmaet Ulrik Møller,
Værløse "|Almen praksis| erhvervsret| fast ejendom-boligrådgivning/ ejendomsberigtigelse |Glostrup||
2541|1035787|Ulrik Mikkelsen|||||||
0|0|Ulrik Lefevre|"Lexsos Advokater,
Odense C "|Ansættelses- og arbejdsret| erhvervs- og selskabsforhold| retssager |Odense||
0|0|Ulrik Laustsen|"Eversheds Advokataktieselskab,
København K "||København||||
4304|687592|Ulrik Kirkedal Kragh|||||||
3240|687582|Ulrik Kamstrup Jespersen|||||||
4282|1853078|Ulrik Joakim Hjulmand-Lassen|||||||
0|0|Ulrik Jacobsen|"Kromann Reumert,
København Ø "|Erhvervsret| finansieringsret| selskabsret |København||
0|0|Ulrik Iversen|"Advokatfirmaet Ulrik Iversen,
Nærum "|Erstatningsret| familieret- og personret| fast ejendom-boligrådgivning/ ejendomsberigtigelse |Lyngby||
0|0|Ulrik Ibfelt|"Ibfelt - Siebert,
København K "|Arv og dødsbo| medieret |København|||
1501|1819852|Ulrik Haagerup|||||||
0|687535|Ulrik Holsted-Sandgreen|"Bech-Bruun Advokatfirma,
København Ø "|Børsforhold| insolvensret/ betalingsstandsning/ konkurs/ akkord |København|||
4247|687535|Ulrik Holsted-Sandgreen|||||||
0|0|Ulrik Holst Hansen|"Gorrissen Federspiel Advokatfirma,
København V "||København||||
4198|1388782|Ulrik Holm Christensen|||||||
0|0|Ulrik Grønborg|"Advokaterne Sankt Knuds Torv,
Aarhus C "|Arv og dødsbo| international privatret| testamenter |Aarhus||
3883|1439163|Ulrik Fred Sørensen|||||||
0|0|Ulrik Fleischer-Michaelsen|"Rønne & Lundgren Advokatfirma,
Hellerup "|Skatteret| virksomhedsoverdragelse |Lyngby|||
0|0|Ulrik Fenneberg|"Bruun & Hjejle I/S,
København K "||København||||
0|0|Ulrik Christrup|"Lett Advokatfirma,
Kolding "|Erstatningsret| forsikringsret| strafferet |Kolding||
1198|687422|Ulrik Christian Giese|||||||
1991|687402|Ulrik Bülow|||||||
5319|1147746|Ulrik Bremholm|||||||
3267|1047747|Ulrik Bjerre Rasmussen|||||||
0|0|Ulrik Bayer|"Moltke-Leth Advokater, Aktieselskab,
København K "|Erhvervsret| fast ejendom-boligrådgivning/ ejendomsberigtigelse| selskabsret |København||
5184|1323874|Ulrik Bay Nielsen|||||||
0|0|Ulrik Bangsbo Hansen|"Lett Advokatfirma,
København V "||København||||
0|0|Ulrik Bang-Olsen|"Bang-Olsen & Partners Law Firm I/S,
København K "|Byggeri| udbudsret| voldgiftssager |København||
0|0|Ulrik Asbjørn Lannik|"MAQS Law Firm,
København K "||København||||
0|0|Ulrik Andreas Aagaard Henriksen|"Advokatfirmaet Hovmøller & Thorup,
Aalborg "||Aalborg||||
0|0|Ulrik Andersen-Alstrup|"Advokatanpartsselskabet,
København Ø "|Almen praksis |København||||
5271|305344|Ulrich Peer Jespersen|||||||
0|0|Ulrich Madsen|"Advokat Ulrich Madsen,
Risskov "|Erhvervsejendomme| selskabsret| skatteret |Aarhus||
0|0|Ulrich Hejle|"Advokataktieselskabet Horten,
Hellerup "|Finansieringsret| selskabsret| virksomhedsoverdragelse |Lyngby||
0|0|Ulrich Cort Hansen|"CORT Boligadvokater,
København Ø "||København||||
3828|1460539|Ulrich Bastert|||||||
4955|938319|Ullagreth Walborg Gröntvedt|||||||
0|0|Ulla Wulff Hansen|"Advokatfirmaet Ulla Wulff Hansen,
København Ø "|Familieret- og personret| procedure/ retssager| selskabsret |København||
0|0|Ulla Ullvit|"Advokatgruppen,
Horsens "|Arv og dødsbo| familieret- og personret| fast ejendom-boligrådgivning/ ejendomsberigtigelse |Horsens||
3480|1433177|Ulla Thygesen|||||||
225|686966|Ulla Strøm Nordenhof|||||||
0|0|Ulla Skov|"Advokatfirmaet Børge Nielsen,
Aalborg "|Erhvervs- og selskabsforhold| fast ejendom-boligrådgivning/ ejendomsberigtigelse| virksomhedsoverdragelse |Aalborg||
0|0|Ulla Paabøl|"Adacta Advokater ApS,
København NV "|Asylret/ flygtningeret/ udlændingeret| familieret- og personret| strafferet |København||
4837|686799|Ulla Petersen|||||||
281|686766|Ulla Olsen Børsting|||||||
4297|686695|Ulla Morin|||||||
4775|686650|Ulla Marie Larsen|||||||
704|686455|Ulla Kirsten Bogø|||||||
3029|686352|Ulla Iversen|||||||
0|0|Ulla Holm Nielsen|"Ellebye Advokater I/S,
Odense C "|Fast ejendom-boligrådgivning/ ejendomsberigtigelse |Odense||||
0|0|Ulla Fabricius|"Bang + Regnarsen,
København K "|Søret| transportret |København|||
0|0|Ulla Eg Andersen|"LRØ Advokaterne ApS,
Horsens "|Arv og dødsbo| kontraktsret| landboret/ landbrugshandler |Horsens||
1206|686069|Ulla Doria Krossteig|||||||
0|0|Ulla Dilau Poulsen|"Advokat Ulla Dilau Poulsen,
Hellerup "|Arv og dødsbo| gældssanering| testamenter |København||
0|0|Ulla Degnegaard|"Advokat Ulla Degnegaard,
Helsingør "|Erstatningsret| familieret- og personret| fast ejendom-boligrådgivning/ ejendomsberigtigelse |Helsingør||
18|7384249|Ulla Charlotte Ravn|||||||
5661|236730|Ulla Brockenhuus-Schack|||||||
601|685921|Ulla Bloch Bach|||||||
2582|685867|Ulla Bente Søgaard Bennetzen|||||||
1273|700842|Ulf Thore Svensson|||||||
0|0|Ulf Svejgaard Poulsen|"Svejgaard - Galst Advokataktieselskab,
København K "|Bestyrelsesarbejde| fast ejendom-boligrådgivning/ ejendomsberigtigelse| selskabsret |København||
2314|685672|Ulf Schnack|||||||
430|685658|Ulf Robert Gunnar Scharin|||||||
2819|685556|Ulf Lennart Holm|||||||
5722|702036|Ulf Jonas Tornerefelt|||||||
198|685435|Ulf Goran Nasholm|||||||
2848|1817713|Ulf Christian Cederholm|||||||
2695|1609718|Ulf Arne Wiinberg|||||||
0|0|Ulf Andersen|"Lett Advokatfirma,
København V "|Entrepriseret| forsikringsret| kommunalret |København||
390|1230814|Uffe Wiborg|||||||
0|0|Uffe Vartoft Grønfeldt|"Advokatfirmaet Uffe Grønfeldt v/Uffe Vartoft Grønfeldt,
Frederiksberg C "||Frederiksberg||||
2223|685252|Uffe Uhrenholt|||||||
0|0|Uffe Thorlacius|"Advodan Lyngby A/S,
Lyngby "|Arv og dødsbo| byggesager| fonds- og foreningsret |Lyngby||
3212|684727|Uffe Thorbjørn Berregård Baller|||||||
0|0|Uffe Steffensen|"Steffensen Horstmann Advokatpartnerselskab,
Viborg "|Erstatningsret| lejeret| selskabsret |Viborg||
0|0|Uffe Skalborg Hansen|"Advokataktieselskabet Hjerrild & Bisgaard,
Ribe "|Andelsboligforeninger| gældssanering| rekonstruktion |Esbjerg||
3688|1673219|Uffe Rostrup|||||||
0|0|Uffe Nørgaard|"Advokatfirmaet Tommy V. Christiansen,
Åbyhøj "|Selskabsret| skatteret |Aarhus|||
0|0|Uffe Mygind Krempel|"Lett Advokatfirma,
København V "||København||||
0|0|Uffe Kritte Nielsen|"KAMMERADVOKATEN ADVOKATFIRMAET POUL SCHMITH,
København V "||København||||
1832|1301738|Uffe Hougaard Vithen|||||||
6146|684859|Uffe Ellemann-Jensen|||||||
5007|1705866|Uffe Egelund Jensen|||||||
0|0|Uffe Bøgelund Jensen|"Gorrissen Federspiel Advokatfirma,
København V "|Arv og dødsbo| fast ejendom-boligrådgivning/ ejendomsberigtigelse| forsikringsret |København||
321|684789|Uffe Bruhn Hansen|||||||
0|0|Uffe Bro|"Advokat Uffe Bro,
Løgstør "|Energiret| selskabsret| strafferet |Aalborg||
0|0|Uffe Bierfelt|"Advokatfirmaet Uffe Bierfelt,
København V "|Entrepriseret| lejeret| selskabsret |København||
0|0|Uffe Bass Johansen|"Hansen Sønderby & Co Advokatfirma,
Randers SØ "|Fast ejendom-boligrådgivning/ ejendomsberigtigelse| immaterialret| lejeret |Randers||
0|0|Uffe Baller|"INTERLEX Advokater I/S,
Aarhus C "|Ekspropriation| landboret/ landbrugshandler| procedure/ retssager |Aarhus||
0|0|Tyge Trier|"Advokat Tyge Trier,
Frederiksberg C "|Medieret| menneskerettigheder| virksomhedsoverdragelse |Frederiksberg||
0|0|Tyge Barslev Rasmussen|"Kromann Reumert,
Aarhus C "||Aarhus||||
6013|1675211|Tuula Marjukka Haataja|||||||
0|0|Tutter Annelise Blume-Frederiksen|"Imediate Solutions Tutter Blume-Frederiksen,
København Ø "|Coaching og ledelse| mediation/ mægling| virksomhedsrådgivning |København||
0|0|Tune Riis Jørgensen|"Holst, Advokater,
Aarhus C "||Aarhus||||
2854|723339|Tue Tortzen|||||||
0|0|Tue Rønholt Hansen|"Bech-Bruun Advokatfirma,
København Ø "|Børsforhold| immaterialret| it-ret| telekommunikationsret |København|
624|1790903|Tue Mantoni|||||||
0|0|Tue Lundkvist|"Ajour Advokater,
Odense C "|Fast ejendom-boligrådgivning/ ejendomsberigtigelse| insolvensret/ betalingsstandsning/ konkurs/ akkord| tvangsauktioner |Odense||
0|0|Tue Goldschmieding|"Gorrissen Federspiel Advokatfirma,
København V "||København||||
0|0|Tue Frandsen|"Plesner,
København Ø "|Finansieringsret| virksomhedsoverdragelse |København|||
0|0|Tue Askeland|"Advokatfirmaet Tommy V. Christiansen Roskilde I/S,
Roskilde "|Fast ejendom-boligrådgivning/ ejendomsberigtigelse| lejeret| skatteret |Roskilde||
629|1535103|Trygve Young|||||||
0|0|Trygve S. Nielsen|"Advokat Trygve S. Nielsen,
Humlebæk "||Helsingør||||
2969|684282|Trygve Holtskog|||||||
4655|1427020|Trygve Christophersen|||||||
1538|684249|Truels Damsgaard|||||||
5223|7363329|Trude Berg Søntvedt|||||||
5649|1947457|Trond Østerhus|||||||
35|684197|Trond Ødegård Westlie|||||||
4614|684189|Trond Skaufel|||||||
1190|684170|Trond Hans Kleivdal|||||||
2875|16808715|Trond Bølviken|||||||
0|0|Troels Østergaard-Christensen|"Vilsøe Boligadvokater,
Hillerød "||Hillerød||||
899|318748|Troels Willer Behr|||||||
0|0|Troels Wenzel Østergaard|"SelskabsAdvokaterne ApS,
Lyngby "|Bestyrelsesarbejde| selskabsret| virksomhedsoverdragelse |Lyngby||
0|0|Troels Voldsgaard Fristrup|"ADVODAN Køge A/S,
Køge "||Roskilde||||
0|0|Troels Nielsen|"Codex Advokater Advokataktieselskab,
Vejle "||Kolding||||
0|0|Troels Mørch Tuxen|"Bech-Bruun Advokatfirma,
København Ø "|Erhvervs- og selskabsforhold| insolvensret/ betalingsstandsning/ konkurs/ akkord| selskabsret |København||
0|0|Troels Mohr Thygesen|"Advokatfirmaet Jon Palle Buhl Advokataktieselskab,
København K "||København||||
0|0|Troels Miltoft|"Advokatgruppen,
Aarhus C "|Entrepriseret| erhvervsret| personskadeerstatning |Aarhus||
0|0|Troels Maglegaard|"Ellebye Advokater I/S,
Odense C "|Arv og dødsbo| lejeret| strafferet |Odense||
0|0|Troels Lind Pedersen|"Advokatfirmaet Tommy V. Christensen Advokatpartnerselskab,
Åbyhøj "|Moms og afgifter| skatteret| strafferet |Aarhus||
4082|683985|Troels Laugesen Drachmann|||||||
0|0|Troels Kock Nielsen|"AdvoCare Advokater A/S,
København K "|Erstatningsret| forsikringsret| personskadeerstatning |København||
0|0|Troels Kjersgaard|"Lett Advokatfirma,
København V "||København||||
0|0|Troels Horneman|"Advokatfirmaet Troels Horneman,
Skanderborg "|Erhvervsret| miljø og energi| skatteret |Horsens||
720|683920|Troels Holch Povlsen|||||||
0|0|Troels Helmer Nielsen|"Advokat Troels Helmer Nielsen,
Charlottenlund "|Fonds- og foreningsret| immaterialret| markedsføringsret |Lyngby||
5716|1510762|Troels Bülow-Olsen|||||||
0|0|Troels Askerud|"Danders & More,
København K "|Finansieringsret| selskabsret |København|||
5700|2002505|Trine Zappe|||||||
0|0|Trine Nytrup|"Advokatfirmaet Anders Skovholm,
Aarhus C "|Strafferet |Aarhus||||
0|0|Trine Lindgaard|"Sankt Petri Advokater, Kontorfællesskab,
København K "||København||||
0|0|Trine Larsen|"Plesner,
København Ø "||København||||
0|0|Trine Irmang Østengaard|"Advokatfirmaet Steffen Olsen-Kludt,
København Ø "||København||||
0|0|Trine Hasselbalch|"Bech-Bruun Advokatfirma,
Aarhus C "|Insolvensret/ betalingsstandsning/ konkurs/ akkord |Aarhus||||
0|0|Trine Damsgaard Vissing|"Bech-Bruun Advokatfirma,
København Ø "||København||||
3525|1085236|Trine Christensen|||||||
0|0|Trine Bøgelund-Kjær|"Winsløw Advokatfirma,
København K "|Erstatning- og forsikringsret| fast ejendom-boligrådgivning/ ejendomsberigtigelse |København|||
0|0|Trine Bøgelund|"Accura Advokatpartnerselskab,
Hellerup "||Lyngby||||
0|0|Trine Brønsgaard|"Advokat Trine Brønsgaard,
Nykøbing F "||Nykøbing Falster||||
0|0|Trine Bonde Østergaard|"DAHL, Esbjerg Advokataktieselskab,
Esbjerg "|Erstatningsret| selskabsret| virksomhedsoverdragelse |Esbjerg||
0|0|Trine Bonde Jensen|"Kromann Reumert,
København Ø "||København||||
149|2005227|Trevor Gregory|||||||
102|683221|Tove Poulsen|||||||
5811|683155|Tove Niemann Jensen|||||||
0|0|Tove Nielsen|"Advokatfirmaet Tove Nielsen ApS,
København K "||København||||
3264|17138437|Tove Mikkonen Sørensen|||||||
1404|944519|Tove Knudsen|||||||
0|0|Tove Hovgaard Dahl|"Advokat Tove Dahl,
København K "|Generationsskifte| internationale kontrakter| kontraktsret |København||
3784|682719|Tove Harriet Grosbøl|||||||
0|0|Tove Christensen|"CED Advokater,
Helsinge "|Almen praksis| erhvervsret| strafferet |Helsingør||
0|0|Tove Bastholm|"Advokatfirmaet Tove Bastholm,
Hjørring "|Ejendomshandler| erhvervs- og selskabsforhold| erhvervsejendomme |Hjørring||
893|1555250|Torsten Walz|||||||
0|0|Torsten Viborg Pedersen|"Advokatfirmaet Lou & Partnere Scs Huset,
Randers C "||Randers||||
0|0|Torsten Vagn Hansen|"Lund Elmer Sandager Advokatpartnerselskab,
København V "|Almen praksis| inkasso| insolvensret/ betalingsstandsning/ konkurs/ akkord |København||
0|0|Torsten Svendsen|"Advokatfirmaet Svendsen,
Ringsted "|Fast ejendom-boligrådgivning/ ejendomsberigtigelse| tvangsauktioner| virksomhedsoverdragelse |Roskilde||
877|1540136|Torsten Smærup|||||||
5608|1607689|Torsten Ployart Wetche|||||||
0|0|Torsten Pedersen|"Advokat Torsten Pedersen & Saabye-Brøndum,
Birkerød "|Arveret| procedure/ retssager| selskabsret |Lyngby||
0|0|Torsten Hoffmeyer|"Advokataktieselskabet Horten,
Hellerup "|Kontraktsret| selskabsret| virksomhedsoverdragelse |Lyngby||
2518|1507126|Torsten Henning Kunz-Aues|||||||
4116|7361091|Torsten Hagen Jørgensen|||||||
610|682087|Torsten Erik Rasmussen|||||||
1419|684313|Torsten Bo Pedersen|||||||
3950|1761943|Torsten Ask Overgaard|||||||
1591|916926|Torkild Pedersen Hansen|||||||
0|0|Torkil Rasmussen|"Advokatfirmaet Bill Andersen,
Aarhus C "|Almen praksis| mediation/ mægling| strafferet |Aarhus||
1758|681858|Torkil Nedergaard Jensen|||||||
0|0|Torkil Høg|"Lett Advokatfirma,
København V "||København||||
974|681812|Torkil Bentzen|||||||
2354|681810|Torkil Allan Hattel|||||||
2521|1737397|Tore Ove Hov|||||||
5379|1027511|Tore Haugsdal|||||||
1941|1502936|Tore Harritshøj|||||||
5410|946073|Torbjørn Rankin Malmsteen|||||||
5951|1794245|Torbjörn Christensson|||||||
128|681538|Torben Østergård Nielsen|||||||
183|1959965|Torben Østergaard Eriksen|||||||
5613|681527|Torben Østergaard Andersen|||||||
0|0|Torben Waage|"Kromann Reumert,
København Ø "|EU-ret| konkurrenceret| telekommunikationsret |København||
0|0|Torben Winnerskjold|"Abel & Skovgård Larsen Advokatfirma,
Aarhus C "||Aarhus||||
3424|847656|Torben Wilhelm Pørksen|||||||
