"ORG_ID"|"NAVN"|"ORG_NAVN"|"POSITION"|"BESKRIVELSE"|"BIQ_PERSON_ID"|"CVR"|"POST_SIDEN"|"post"|"IND_NR"
5000642|"Preben Rosenkilde"|"Ikast Betonvarefabrik"|"Bestyrelsespost formand"|""|626947|37537314|"23-05-2008"|"Formand"|106111
5000919|"Gregers Væver Jacobsen"|"Læsø Fiskeindustri"|"Bestyrelsespost Formand"|""|368077|45937712|""|"Formand"|106111
5000919|"Klaus Rosenfeldt Hansen"|"Læsø Fiskeindustri"|"Bestyrelsespost"|""|501686|45937712|"16-09-1994"|"Bestyrelsesmedlem"|106111
5000919|"Ole Larsen"|"Læsø Fiskeindustri"|"Bestyrelsespost"|""|583777|45937712|"24-04-2010"|"Bestyrelsesmedlem"|106111
5000919|"Søren Larsen"|"Læsø Fiskeindustri"|"Direktionspost Adm Dir"|""|662748|45937712|"23-04-1992"|"Adm. Direktør"|106111
5000919|"Erik Vinther Poulsen"|"Læsø Fiskeindustri"|"Bestyrelsespost"|""|974818|45937712|"26-04-2003"|"Bestyrelsesmedlem"|106111
5000919|"Svend Ole Larsen"|"Læsø Fiskeindustri"|"Direktionspost Økonomidirektør"|""|1133900|45937712|"01-01-2005"|"Direktionspost"|106111
5000919|"Joan Brink Olsen"|"Læsø Fiskeindustri"|"Bestyrelsespost"|""|1313147|45937712|"19-06-2007"|"Bestyrelsesmedlem"|106111
5000919|"Hans Erik Thomsen"|"Læsø Fiskeindustri"|"Bestyrelsespost"|""|1467626|45937712|"19-06-2007"|"Bestyrelsesmedlem"|106111
5000801|"Carsten Wandorf"|"Arnold Busck"|"Bestyrelsespost formand"|""|303533|10250528|"29-04-2010"|"Formand"|106111
5000801|"Helle Charlotte Busck Fensvig"|"Arnold Busck"|"Bestyrelsespost næstformand"|""|392708|10250528|"29-04-2010"|"Næstformand"|106111
5000801|"Jacob Monberg"|"Arnold Busck"|"Bestyrelsespost"|""|421261|10250528|"30-05-2006"|"Bestyrelsesmedlem"|106111
5000801|"Jesper Brøckner Nielsen"|"Arnold Busck"|"Bestyrelsespost"|""|444969|10250528|"29-04-2010"|"Bestyrelsesmedlem"|106111
5000801|"Jesper Toft Fensvig"|"Arnold Busck"|"Direktionspost adm. dir"|""|447178|10250528|"01-01-2008"|"Adm. Direktør"|106111
5000801|"Ole Arnold Busck"|"Arnold Busck"|"Bestyrelsespost"|""|579289|10250528|"25-01-1980"|"Bestyrelsesmedlem"|106111
5000801|"Jens Joakim Kirk Werner"|"Arnold Busck"|"Direktionspost"|""|1590798|10250528|"01-01-2008"|"Direktionspost"|106111
5000017|"Peter Schaumburg-Müller"|"USTC (United Ship. & Trad.)"|"Bestyrelsespost"|""|235760|76950016|"21-06-2010"|"Bestyrelsesmedlem"|106111
5000017|"Eric Frydenlund Michelsen"|"USTC (United Ship. & Trad.)"|"Bestyrelsespost"|""|332644|76950016|"01-07-2010"|"Bestyrelsesmedlem"|106111
5000017|"Lars Bæk"|"USTC (United Ship. & Trad.)"|"Bestyrelsespost"|""|514859|76950016|"21-06-2010"|"Bestyrelsesmedlem"|106111
5000017|"Michael Keldsen"|"USTC (United Ship. & Trad.)"|"Bestyrelsespost formand"|""|553433|76950016|"14-04-2004"|"Formand"|106111
5000017|"Torben Janholt"|"USTC (United Ship. & Trad.)"|"Bestyrelsespost"|""|679091|76950016|"21-06-2010"|"Bestyrelsesmedlem"|106111
5000017|"Torben Østergård Nielsen"|"USTC (United Ship. & Trad.)"|"Direktionspost Administrerende direktør"|""|681538|76950016|"09-03-1994"|"Adm. Direktør"|106111
5000950|"Annette Bjerring Kristensen"|"Vestfrost"|"Bestyrelsespost"|""|258134|37101117|"07-01-2004"|"Bestyrelsesmedlem"|106111
5000950|"Hans Christian Anderskouv"|"Vestfrost"|"Bestyrelsespost"|""|377605|37101117|"31-03-1995"|"Bestyrelsesmedlem"|106111
5000950|"Jan Højbjerg Jensen"|"Vestfrost"|"Bestyrelsespost"|""|425744|37101117|"28-03-2001"|"Bestyrelsesmedlem"|106111
5000950|"Jens Højsager Damgaard"|"Vestfrost"|"Direktionspost adm. dir"|""|437020|37101117|"01-06-2008"|"Adm. Direktør"|106111
5000950|"John Riis Andersen"|"Vestfrost"|"Bestyrelsespost Formand"|""|457823|37101117|"31-03-1995"|"Formand"|106111
5000950|"Kristoffer Jarl Kristensen"|"Vestfrost"|"Bestyrelsespost"|""|509553|37101117|"16-03-2010"|"Bestyrelsesmedlem"|106111
5000950|"Torben Bjerre-Madsen"|"Vestfrost"|"Bestyrelsespost"|""|677642|37101117|"28-03-2008"|"Bestyrelsesmedlem"|106111
5000950|"Max Peter Christensen"|"Vestfrost"|"Bestyrelsespost Medarbejdervalgt"|""|737205|37101117|"13-05-2002"|"Medarbejderrepræsentant"|106111
5000950|"Niels-Henrik Borch"|"Vestfrost"|"Bestyrelsespost"|""|973284|37101117|"28-03-2003"|"Bestyrelsesmedlem"|106111
5000950|"Bjarne Kirkeby"|"Vestfrost"|"Bestyrelsespost"|""|1758159|37101117|"30-04-2009"|"Bestyrelsesmedlem"|106111
5000050|"Jan Kjærsgaard"|"A2SEA A/S"|"Bestyrelsespost næstformand"|""|426281|25490339|"13-12-2011"|"Næstformand"|106111
5000050|"Bent Christensen"|"A2SEA A/S"|"Bestyrelsespost"|""|270756|25490339|""|"Bestyrelsesmedlem"|106111
5000050|"Christina Grumstrup Sørensen"|"A2SEA A/S"|"Bestyrelsespost formand"|""|1763139|25490339|""|"Formand"|106111
5000050|"Wolfgang Dieter Hermann"|"A2SEA A/S"|"Bestyrelsespost"|""|16991825|25490339|""|"Bestyrelsesmedlem"|106111
5000050|"Ingrid Maria Jägering"|"A2SEA A/S"|"Bestyrelsespost"|""|1837123|25490339|""|"Bestyrelsesmedlem"|106111
5000050|"Jens Frederik Hansen"|"A2SEA A/S"|"Direktionspost adm. dir"|""|435955|25490339|""|"Adm. Direktør"|106111
5000050|"John Michael Hannibal"|"A2SEA A/S"|"Bestyrelsespost"|""|17198907|25490339|""|"Bestyrelsesmedlem"|106111
5000050|"Morten Hultberg Buchgreitz"|"A2SEA A/S"|"Bestyrelsespost"|""|1042020|25490339|""|"Bestyrelsesmedlem"|106111
5000204|"Claus Madsen"|"ABB"|"Direktionspost Administrerende direktør"|""|312707|31371716|"20-03-2001"|"Adm. Direktør"|106111
5000204|"Lena Maria Andersson"|"ABB"|"Bestyrelsespost"|""|1868187|31371716|"11-05-2010"|"Bestyrelsesmedlem"|106111
5000204|"Trevor Gregory"|"ABB"|"Bestyrelsespost formand"|""|2005227|31371716|"28-04-2011"|"Formand"|106111
5000641|"Robert Peter Thain"|"Abbott Laboratories"|"Bestyrelsespost"|""|633888|31528615|"27-11-1986"|"Bestyrelsesmedlem"|106111
5000641|"Thomas Craig Freyman"|"Abbott Laboratories"|"Bestyrelsespost formand"|""|716200|31528615|"24-04-2002"|"Formand"|106111
5000641|"Tom Schjødt"|"Abbott Laboratories"|"Bestyrelsespost"|""|1686035|31528615|"18-12-2008"|"Bestyrelsesmedlem"|106111
5000641|"Christina Dyreborg Horan"|"Abbott Laboratories"|"Direktionspost adm. dir"|""|1814501|31528615|"03-12-2009"|"Adm. Direktør"|106111
5000198|"Arne Terp-Nielsen"|"Abena"|"Bestyrelsespost formand"|""|232047|49723911|"24-01-2008"|"Formand"|106111
5000198|"Bjarne Debel Thomsen"|"Abena"|"Direktionspost Økonomidirektør"|""|285752|49723911|"25-04-2007"|"Direktionspost"|106111
5000198|"Hanne Terp-Nielsen"|"Abena"|"Bestyrelsespost"|""|376255|49723911|"06-08-1987"|"Bestyrelsesmedlem"|106111
5000198|"Preben Terp-Nielsen"|"Abena"|"Direktionspost Adm Dir"|""|627238|49723911|"02-10-2001"|"Adm. Direktør"|106111
5000346|"Carsten Sachmann"|"Accenture"|"Bestyrelsespost"|""|303059|13227500|"29-08-2008"|"Bestyrelsesmedlem"|106111
5000346|"Philip Michael Anthony Wiig"|"Accenture"|"Direktionspost"|""|614688|13227500|"01-09-2007"|"Direktionspost"|106111
5000346|"Mats Peter Dexfalk"|"Accenture"|"Bestyrelsespost formand"|""|1782851|13227500|"01-09-2009"|"Formand"|106111
5000889|"Puk Thomas"|"Actavis"|"Direktionspost"|""|627632|25361822|"07-04-2006"|"Direktionspost"|106111
5000889|"Björn Adalsteinsson"|"Actavis"|"Bestyrelsespost"|""|1015635|25361822|"10-08-2011"|"Bestyrelsesmedlem"|106111
5000889|"Per Kjeldsholm"|"Actavis"|"Bestyrelsespost"|""|1259576|25361822|"10-08-2011"|"Bestyrelsesmedlem"|106111
5000889|"Lars Peter Ramneborn"|"Actavis"|"Bestyrelsespost formand"|""|1913731|25361822|"10-08-2010"|"Formand"|106111
5000889|"David Vrhovec"|"Actavis"|"Bestyrelsespost"|""|10429702|25361822|"10-08-2011"|"Bestyrelsesmedlem"|106111
5000391|"Hans Ladekjær Jeppesen"|"Actona Company"|"Bestyrelsespost"|""|383400|12143745|"28-11-2005"|"Bestyrelsesmedlem"|106111
5000391|"Hans Martin Juul Nielsen"|"Actona Company"|"Bestyrelsespost"|""|383768|12143745|"06-05-2008"|"Bestyrelsesmedlem"|106111
5000391|"Ib Holm Mortensen"|"Actona Company"|"Bestyrelsespost"|""|410647|12143745|"12-12-2011"|"Bestyrelsesmedlem"|106111
5000391|"Jens Bornstein"|"Actona Company"|"Direktionspost"|""|433501|12143745|"12-12-2011"|"Direktionspost"|106111
5000391|"Orla Dahl Jepsen"|"Actona Company"|"Bestyrelsespost formand"|""|588223|12143745|"12-12-2011"|"Formand"|106111
5000391|"Torben Skov Villadsen"|"Actona Company"|"Bestyrelsespost"|""|680794|12143745|"19-07-2001"|"Bestyrelsesmedlem"|106111
5000391|"Aksel Vesterbæk Lægsgaard"|"Actona Company"|"Bestyrelsespost"|""|1321198|12143745|"29-11-2006"|"Bestyrelsesmedlem"|106111
5000903|"Stian Nygård"|"Adecco"|"Bestyrelsespost"|""|1222131|12932375|"13-10-2005"|"Bestyrelsesmedlem"|106111
5000903|"Torben Sneve"|"Adecco"|"Direktionspost"|""|1793492|12932375|"06-10-2009"|"Direktionspost"|106111
5000903|"Martin Alonso Rotaeche"|"Adecco"|"Bestyrelsespost"|""|17059956|12932375|"01-12-2011"|"Bestyrelsesmedlem"|106111
5000327|"Dan Krause Thomsen"|"Aegis Media"|"Bestyrelsespost"|""|316051|58227811|"17-12-1997"|"Bestyrelsesmedlem"|106111
5000327|"Henrik Kofoed Jensen"|"Aegis Media"|"Bestyrelsespost"|""|402879|58227811|"01-07-2002"|"Bestyrelsesmedlem"|106111
5000327|"Karoly Laszlo Nemeth"|"Aegis Media"|"Bestyrelsespost Formand"|""|485845|58227811|"13-05-2002"|"Formand"|106111
5000327|"Lars Bo Jeppesen"|"Aegis Media"|"Direktionspost adm. dir"|""|514479|58227811|"03-11-2006"|"Adm. Direktør"|106111
5000885|"Tiina Helena Olenius"|"AGA"|"Bestyrelsespost næstformand"|""|672194|10290511|"11-02-2004"|"Næstformand"|106111
5000885|"Klas Fredrik Stylander"|"AGA"|"Bestyrelsespost formand"|""|910435|10290511|"11-02-2004"|"Formand"|106111
5000885|"Max Engelberth Bering"|"AGA"|"Direktionspost"|""|1958847|10290511|"13-12-2010"|"Direktionspost"|106111
5000885|"Torben Østergaard Eriksen"|"AGA"|"Bestyrelsespost"|""|1959965|10290511|"01-01-2011"|"Bestyrelsesmedlem"|106111
5000885|"Kasper Rasmussen"|"AGA"|"Bestyrelsespost"|""|1959966|10290511|"01-01-2011"|"Bestyrelsesmedlem"|106111
