"ORG_ID"|"NAVN"|"ORG_NAVN"|"POSITION"|"BESKRIVELSE"|"id"
1000689|"Erik Bjerager"|"Danske Dagblades Forening (Bestyrelse)"|""|"Erik Bjerager, Adm. direktør, ansvh. chefredaktør, medlem"|682
1000698|"Erik Blacha"|"Motorcykelbranchens Landsforbund (bestyrelse)"|""|"Erik Blacha, 8660 Skanderborg"|683
1000109|"Erik Bredholt"|"Dansk Arbejdsgiverforening (DA) (Forretningsudvalg)"|""|"Formand for Slagteriernes Arbejdsgiverforening Erik Bredholt"|684
1000117|"Erik Bredholt"|"DI (Udvalg for arbejdsmarkedspolitik)"|""|"Erik Bredholt Formand Slagteriernes Arbejdsgiverforening"|684
1000121|"Erik Bredholt"|"DI (Hovedbestyrelse)"|""|"Erik Bredholt Formand Slagteriernes Arbejdsgiverforening"|684
1000157|"Erik Bredholt"|"Slagteriernes Arbejdsgiverforeninger (Bestyrelse)"|"Formand"|"Erik Bredholt Gårdejer (Formand) EDELSLUND"|684
1000843|"Erik Bredholt"|"Landbrug & Fødevarer (Virksomhedsbestyrelse)"|""|"Erik Bredholt,, Danish Crown"|684
1000829|"Erik Bundesen"|"Byggesocietetet (Netværksgruppe7 i Århus)"|""|"Erik Bundesen, Dan-Ejendomme A/S"|685
1000723|"Erik D. Præstegaard"|"Bygherreforeningen (Kvalitet og Proces)"|""|"Erik D. Præstegaard, (observatør), BL/Almennet"|686
1000807|"Erik Dam Jensen"|"Fjerkræafgiftsfonden (bestyrelse)"|""|"Erik Dam Jensen, Chefkonsulent HEDEGAARD agro"|687
1000955|"Erik Didriksen"|"Skorstensfejerlauget af 11. februar 1778 (Bestyrelse)"|""|"Erik Didriksen, Fabriksvej 23 - 4990 Sakskøbing - Tlf. 54 70 41 02 - 30 61 48 02 - didriksen@skorstensfejeren.dk"|688
1001088|"Erik Espersen"|"GenvindingsIndustrien (bestyrelse)"|"Formand"|"Erik Espersen, Direktør, Aa. Espersen & Søn A/S, Formand"|689
1000853|"Erik Frisk"|"Dagligvareleverandørerne (bestyrelse)"|""|"Erik Frisk, Beiersdorf Danmark A/S, Country Manager"|690
1000854|"Erik Frisk"|"Dagligvareleverandørerne (Markedsudvalg)"|"Formand"|"Erik Frisk, BeiersdorfA/S, Formand."|690
1000952|"Erik Frisk"|"Brancheforeningen for Sæbe, Parfume og Teknisk/Kemiske artikler (bestyrelse)"|""|"Erik Frisk, Adm. Direktør Beiersdorf A/S"|690
1000967|"Erik Gudbjerg"|"Dansk Energi – Elhandel (bestyrelse)"|""|"Erik Gudbjerg, Lokalenergi Handel A/S, medlem"|691
1000940|"Erik Gylling"|"Kemi & Life Science (bestyrelse)"|"Næstformand"|"Erik Gylling, LCH Chemicals A/S, NÆSTFORMAND"|692
1000975|"Erik Hansen"|"Dansk Akvakultur (Eksport og forædling)"|""|"Erik Hansen,"|693
1001020|"Erik Jakobsen"|"IT-Brancheforeningen (Udvalget for Sundheds IT)"|""|"Erik Jakobsen, DMDD ApS  ej@multimed.dk"|694
1000157|"Erik Kjærgaard"|"Slagteriernes Arbejdsgiverforeninger (Bestyrelse)"|"Sekretær"|"Erik Kjærgaard Chef for Social Affairs (Sekretær) DI"|695
1001018|"Erik Kaae"|"IT-Brancheforeningen (Open Source Udvalget)"|""|"Erik Kaae, MICROSOFT Danmark ApS  erik.kaae@microsoft.com"|696
1000843|"Erik Larsen"|"Landbrug & Fødevarer (Virksomhedsbestyrelse)"|""|"Erik Larsen,, Danish Crown"|697
1000786|"Erik Laumand"|"Danske Reklame- og Relationsbureauers Brancheforening (DRRB) (bestyrelse)"|""|"Erik Laumand, Adm. direktør Nørgård Mikkelsen"|698
1001064|"Erik Lund"|"InvesteringsForeningsRådet (Regnskabsudvalget)"|""|"Erik Lund, Nykredit Portefølje Administration"|699
1000784|"Erik Løvbjerg"|"De Samvirkende Købmænd DSK (bestyrelse)"|""|"Erik Løvbjerg, købmand, Løvbjerg Supermarked"|700
1000785|"Erik Løvbjerg"|"De Samvirkende Købmænd DSK (forretningsudvalg)"|""|"Erik Løvbjerg, købmand, Løvbjerg Supermarked"|700
1001070|"Erik Meldgaard Andersen"|"Danmarks Apotekerforening (bestyrelse)"|""|"Erik Meldgaard Andersen, Århus Sct. Lukas Apotek"|701
1000944|"Erik Morsø Christensen"|"Professionel Elektronik (bestyrelse)"|""|"Erik Morsø Christensen, Lemo Denmark A/S, Næstformand"|702
1000990|"Erik Møller"|"Foreningen af Fabrikanter og Importører af Elektriske Husholdningsapparater (FEHA) (bestyrelse)"|""|"Erik Møller, Electrolux Home Products Denmark A/S"|703
1000844|"Erik O. Petersen"|"Landbrug & Fødevarer (Familielandbrugssektionen – bestyrelse)"|""|"Erik O. Petersen,"|704
1000909|"Erik Olsen"|"Dansk Vandrelaug (styrelse)"|""|"Erik Olsen, Lolland-Falster, Styrelsesmedlem"|705
1001005|"Erik Paustian"|"Daginstitutionernes Lands-Organisation (DLO) (bestyrelse)"|""|"Erik Paustian, rep. Danske Daginstitutioner"|706
1000884|"Erik Ravnkilde"|"Dansk Forening for Automatforplejning – DAFA (bestyrelse)"|"administrator"|"Erik Ravnkilde, administrator"|707
1001052|"Erik S. Rasmussen"|"Centralforeningen af Autoreparatører i Danmark (CAD) (hovedbestyrelse)"|"Direktør"|"Erik S. Rasmussen, direktør"|708
1000800|"Erik Schødt"|"Børsmæglerforeningen (Aktieudvalget )"|""|"Erik Schødt, Head of Sales S E B"|709
1000872|"Erik Sewerin"|"Danmarks optikerforening (Bestyrelse)"|""|"Erik Sewerin, Optometrist UNIK OPTIK"|710
1000757|"Erik Simonsen"|"Foreningen af Rådgivende Ingeniører, F.R.I (Aftaleudvalget)"|""|"Erik Simonsen, Rambøll Danmark (Formand)"|711
1000824|"Erik Urskov"|"Byggesocietetet (Netværksgruppe1 i København)"|"Styregruppe"|"Erik Urskov, Direktør"|712
1000840|"Erik Vesterskov"|"Landbrug & Fødevarer (ledelse)"|""|"Erik Vesterskov, HR-chef"|713
1000117|"Erik Weidinger"|"DI (Udvalg for arbejdsmarkedspolitik)"|""|"Erik Weidinger Direktør Weidingerglas A/S"|714
1000133|"Erik Weidinger"|"DI (Udvalg for Mindre og Mellemstore Virksomheder)"|""|"Erik Weidinger Direktør Weidingerglas A/S"|714
1000116|"Erik Wolff"|"DI (Udvalg for affald)"|""|"Erik Wolff Director, Power Region Sydvestjylland DONG Energy Power A/S"|715
1000705|"Erik Østergaard"|"Dansk Vejforening (ledelse)"|"Næstformand"|"Erik Østergaard, Næstformand, (Dansk Transport og Logistik)"|716
1000706|"Erik Østergaard"|"Dansk Vejforening (bestyrelse)"|"Næstformand"|"Erik Østergaard, Næstformand, (Dansk Transport og Logistik)"|716
1000907|"Erik Østergaard"|"Dansk Transport og Logistik - DTL (bestyrelse)"|"Adm. Direktør"|"Erik Østergaard, adm. Direktør"|716
1000908|"Erling Clausen"|"Dansk Travsports Centralforbund (bestyrelse)"|""|"Erling Clausen,"|717
1000126|"Erling Duus"|"DI (Udvalg for Erhvervsuddannelse)"|""|"Erling Duus Adm. direktør Eegholm A/S"|718
1000967|"Erling Fonnesbæk Schulz"|"Dansk Energi – Elhandel (bestyrelse)"|""|"Erling Fonnesbæk Schulz, Midtjysk Elhandel A/S, medlem"|719
1000977|"Erling Høyer Pedersen"|"Dansk Akvakultur (Skaldyr)"|""|"Erling Høyer Pedersen,"|720
1000771|"Erling Nilsson"|"Den Danske Finansanalytikerforening (DDF) (Finansfunktionen)"|""|"Erling Nilssonm, TDC Privat A/S"|721
1001045|"Erling Nissen"|"Dansk Vand- og Spildevandsforening (DANVA) (Vandforsyningskomité)"|""|"Erling Nissen, VandCenter Syd"|722
1000904|"Erling Olsen"|"Dansk Kennelklub (bestyrelse)"|""|"Erling Olsen, Korshøj 224 3630 Veksø Sjælland, Næstformand"|723
1000905|"Erling Olsen"|"Dansk Kennelklub (Forretningsudvalg)"|""|"Erling Olsen, Korshøj 224 3630 Veksø Sjælland, Næstformand"|723
1000758|"Erling Rask"|"Foreningen af Rådgivende Ingeniører, F.R.I (Internationalt markedsudvalg)"|""|"Erling Rask,Consia"|724
1000765|"Erling Skorstad"|"Den Danske Finansanalytikerforening (DDF) (bestyrelse)"|""|"Erling Skorstad, Nordea Investment Management"|725
1000766|"Erling Skorstad"|"Den Danske Finansanalytikerforening (CFA-danmark) (bestyrelse)"|""|"Erling Skorstad, Nordea Investment Management"|725
1000769|"Erling Skorstad"|"Den Danske Finansanalytikerforening (DDF) (Obligationsudvalget)"|"Formand"|"Erling Skorstad, bestyrelsesrepræsentant, formand, Nordea Investment Management"|725
1000926|"Ernst Eskildsen"|"Foreningen for Distance- og Internethandel - FDIH (bestyrelse)"|""|"Ernst Eskildsen, Adm. direktør hos Olivers Petfood"|726
1000700|"Ernst Harder"|"Danmarks Biavlerforening (bestyrelse)"|"Formand"|"Ernst Harder, Formand Danmarks Biavlerforening"|727
1000857|"Ernst Lykke Nielsen"|"Dansk Erhverv (bestyrelse)"|""|"Ernst Lykke Nielsen, Adm. direktør Bording Data A/S"|728
1000127|"Ernst Tiedemann"|"DI (Udvalg for Forskning og Uddannelse)"|""|"Ernst Tiedemann Adm. direktør FORCE Technology"|729
1000979|"Ernst Tiedemann"|"GTS - Godkendt Teknologisk Service (Bestyrelse)"|"Næstformand"|"Ernst Tiedemann, (næstformand), adm. dir., FORCE Technology"|729
1000926|"Esben Gadsbøll"|"Foreningen for Distance- og Internethandel - FDIH (bestyrelse)"|""|"Esben Gadsbøll , Stifter og ejer af WhiteAway.com"|730
1000738|"Esben Halding"|"Producentforeningen (bestyrelse)"|""|"Esben Halding, Repræsenterer tv-produktion"|731
1000703|"Esben Oddershede"|"Hedeselskabet (repræsentantskabet)"|""|"Esben Oddershede, Region Nordjylland"|732
1001062|"Eskild Bak Kristensen"|"InvesteringsForeningsRådet (Bestyrelse)"|""|"Eskild Bak Kristensen, Direktør Sydinvest"|733
1000869|"Eskild Hansen"|"Danish Design Association (bestyrelse)"|""|"Eskild Hansen, (DDA Partner), Coloplast"|734
1001013|"Eskild Krag"|"IT-Brancheforeningen (Mobil Brancheforum)"|""|"Eskild Krag, Ericsson Internet Payment Exchange AB  eskil.krag@ericsson.com"|735
1000721|"Eva Hancock"|"Bygherreforeningen (Digitalisering)"|""|"Eva Hancock, Forsvarets Bygnings – og Etablissementstjeneste"|736
1000707|"Eva Jarl Hansen"|"Danske Arkitektvirksomheder (bestyrelse)"|""|"Eva Jarl Hansen, BBP Arkitekter"|737
1000709|"Eva Jarl Hansen"|"Danske Arkitektvirksomheder (Aftaleudvalget)"|""|"Eva Jarl Hansen, BBP ARKITEKTER"|737
1001015|"Eva Mosegaard"|"IT-Brancheforeningen (ITB Regional Udvalget)"|""|"Eva Mosegaard,  emo@itfs.dk"|738
1000751|"Eva Rindom"|"Foreningen af Rådgivende Ingeniører, F.R.I (Bestyrelse)"|""|"Eva Rindom, Atkins Danmark A/S, København, Valgt i 2012, Medlem af Infrastrukturudvalget"|739
1000755|"Eva Rindom"|"Foreningen af Rådgivende Ingeniører, F.R.I (Infrastrukturudvalget)"|""|"Eva Rindom, Atkins"|739
1000726|"Eva Vedel Ibsen"|"Bygherreforeningen (Udvikling og Uddannelse)"|""|"Eva Vedel Ibsen, By og Havn"|740
1000967|"Filip Dahl Larsen"|"Dansk Energi – Elhandel (bestyrelse)"|""|"Filip Dahl Larsen, SEAS-NVE Strømmen A/S, medlem"|741
1000703|"Finn-Olaf Pedersen"|"Hedeselskabet (repræsentantskabet)"|""|"Finn-Olaf Pedersen, Region Hovedstaden"|742
1000902|"Finn Andersen"|"Dansk Håndbold Forbund (disciplinærudvalget for øvrige rækker)"|""|"Finn Andersen, Bavnestedet 155, 3500 Værløse"|743
1001064|"Finn Beck"|"InvesteringsForeningsRådet (Regnskabsudvalget)"|""|"Finn Beck, Jyske Invest"|744
1000159|"Finn Buhl Jørgensen"|"Finanssektorens Arbejdsgiverforening (Repræsentantskab)"|""|"Personaledirektør Finn Buhl Jørgensen If Skadeforsikring"|745
1001046|"Finn Egholm"|"Dansk Vand- og Spildevandsforening (DANVA) (Afløbskomitè)"|""|"Finn Egholm, Esbjerg Forsyning"|746
1000823|"Finn Ehlers"|"Byggesocietetet (landsbetyrelsen)"|""|"Finn Ehlers, Arkitekt, Hallen & Nordby A/S, Medlem af Landsbestyrelsen, Formand for Byggesocietetet Syd & Vestjylland"|747
1000924|"Finn Erik Kristiansen"|"Den Danske Boghandlerforening (bestyrelse)"|""|"Finn Erik Kristiansen, Valgt af Indeks Retail A/S, Boghandler, Direktør for Indeks Retail Invest og ansvarlig for driften af virksomhedens egne boglader"|748
1000992|"Finn Frederiksen"|"Dansk Kystfiskerforening (bestyrelse)"|""|"Finn Frederiksen,"|749
1000744|"Finn Hagedorn"|"Dansk Turismefremme (bestyrelse)"|""|"Finn Hagedorn, Turistchef, Kasserer"|750
1000140|"Finn Hansen"|"DI (Udvalg for Transport og infrastruktur)"|""|"Finn Hansen Direktør Post Danmark A/S"|751
1000918|"Finn Holmquist"|"Dansk Værktøjsmaskinforhandler Forening - DVF (bestyrelse)"|""|"Finn Holmquist, Maskingruppen A/S"|752
1000975|"Finn Jensen"|"Dansk Akvakultur (Eksport og forædling)"|""|"Finn Jensen,"|753
1001062|"Finn Kjærgård"|"InvesteringsForeningsRådet (Bestyrelse)"|"Formand"|"Finn Kjærgård, Vicedirektør Danske Invest, Formand"|754
1000993|"Finn Klostermann"|"Kødbranchens Fællesråd (bestyrelse)"|""|"Finn Klostermann, Danish Crown"|755
1000123|"Finn Kristensen"|"DI (Udvalg for E-business)"|""|"Finn Kristensen E-business Director Chr. Hansen A/S"|756
1000691|"Finn Kruse"|"Danske Dagblades Forening (Distributions- og bladsalgsudvalget)"|""|"Finn Kruse, Abonnements- og distributionschef, medlem"|757
1000825|"Finn Kaarsberg"|"Byggesocietetet (Netværksgruppe2 i København)"|""|"Finn Kaarsberg, Lindpro a/s"|758
1000754|"Finn Michael Bøgh"|"Foreningen af Rådgivende Ingeniører, F.R.I (Byggefaglig taskforce)"|""|"Finn Michael Bøgh, Grontmij"|759
1000751|"Finn Moe Bojsen"|"Foreningen af Rådgivende Ingeniører, F.R.I (Bestyrelse)"|""|"Finn Moe Bojsen, INGENIØR'NE A/S, Esbjerg, Valgt i 2012, Medlem af Aftaleudvalget"|760
1000757|"Finn Moe Bojsen"|"Foreningen af Rådgivende Ingeniører, F.R.I (Aftaleudvalget)"|""|"Finn Moe Bøjsen, Ingeniørerne"|760
1000144|"Finn Murrekilde"|"Danske Malermestre (Bestyrelse)"|""|"Finn Murrekilde Cikorievej 26 5220 Odense SØ"|761
1000904|"Finn Møller Jørgensen"|"Dansk Kennelklub (bestyrelse)"|""|"Finn Møller Jørgensen, Rensdyrvej 12, 8382 Hinnerup, Bestyrelsesmedlem"|762
1000820|"Finn Nør-Pedersen"|"Dansk Ejendomsmæglerforening (økonomiråd)"|""|"Finn Nør-Pedersen, 3. kreds"|763
1000707|"Finn Nørkjær"|"Danske Arkitektvirksomheder (bestyrelse)"|"Næstformand"|"Finn Nørkjær, BIG - Bjarke Ingels Group, 2. næstformand"|764
1000708|"Finn Nørkjær"|"Danske Arkitektvirksomheder (Forretningsudvalg)"|"Næstformand"|"Finn Nørkjær, BIG , 2. næstformand"|764
1000851|"Finn Olaf Pedersen"|"Landbrug & Fødevarer (Havebrugsudvalget)"|""|"Finn Olaf Pedersen,"|765
1001060|"Finn Orvad"|"Danmarks Automobilforhandler Forening (bestyrelse)"|"Næstformand"|"Finn Orvad, (Næstformand), Direktør Orvad Biler A/S"|766
1000842|"Finn Pedersen"|"Landbrug & Fødevarer (Primaer-bestyrelse)"|""|"Finn Pedersen,"|767
1000787|"Finn Stendal Pedersen"|"Danmarks Kartoffel Råd"|""|"Finn Stendal Pedersen, Syddansk Universitet/Odense Universitet, Lektor, dr. phil."|768
1000991|"Finn Svendsen"|"Hanstholm Fiskeriforening (bestyrelse)"|""|"Finn Svendsen,"|769
1000754|"Finn Sørensen"|"Foreningen af Rådgivende Ingeniører, F.R.I (Byggefaglig taskforce)"|""|"Finn Sørensen, EKJ"|770
1000927|"Finn Thage"|"Fotobranchens Leverandørforening (bestyrelse)"|""|"Finn Thage, Direktør Fujifilm Danmark A/S Intern revisor"|771
1000891|"Finn Toftegaard"|"Dansk Håndbold Forbund (Dommerudvalget)"|""|"Finn Toftegaard, Tværgade 22, 5450 Otterup"|772
1000879|"Finn Ulbæk Andersen"|"Dansk Diagnostika- og Laboratorieforening - DADIF (Bestyrelse)"|"Formand"|"Finn Ulbæk Andersen, Adm. direktør Triolab A/S, (FORMAND)"|773
1000827|"Finn Aaen"|"Byggesocietetet (Netværksgruppe4 i Aalborg)"|""|"Finn Aaen, Nørresundby Bank"|774
1000161|"Fleming Friis Larsen"|"Finanssektorens Arbejdsgiverforening (Direktion)"|""|"Kontorchef Fleming Friis Larsen"|775
1000709|"Flemming Andersen"|"Danske Arkitektvirksomheder (Aftaleudvalget)"|""|"Flemming Andersen, FLEMMING ANDERSEN ARKITEKTER A/S"|100776
1000750|"Flemming Andersen"|"Feriehusudlejernes Brancheforening (bestyrelse)"|""|"Flemming Andersen, Direktør Feriepartner Danmark"|200776
1000820|"Flemming Bentzon"|"Dansk Ejendomsmæglerforening (økonomiråd)"|""|"Flemming Bentzon, Bestyrelsesmedlem"|777
1000125|"Flemming Bligaard Pedersen"|"DI (Udvalg for Erhvervspolitik)"|""|"Flemming Bligaard Pedersen Koncernchef, Group CEO Rambøll Gruppen A/S"|778
1000888|"Flemming Blåbjerg"|"Dansk Håndbold Forbund (økonomiudvalget)"|""|"Flemming Blåbjerg , Råhøjvænget 18, 8260 Viby J"|779
1000823|"Flemming Dahl"|"Byggesocietetet (landsbetyrelsen)"|""|"Flemming Dahl, Advokat (H), Partner , ADVOKATFIRMA / LAW FIRM, Medlem af Landsbestyrelsen:"|780
1000834|"Flemming Dahl"|"Byggesocietetet (Lejeudvalget )"|""|"Flemming Dahl, Abel & Skovgård Larsen"|780
1000931|"Flemming Daugaard"|"International Chamber of Commerce Denmark (ICC-Denmark) (Trade finance forum)"|""|"Flemming Daugaard, DnB NOR Bank"|781
1001054|"Flemming Ejde Nielsen"|"Håndværksrådet (bestyrelse)"|""|"Flemming Ejde Nielsen, Direktør bestyrelsesmedlem i Metal- og Maskinindustrien"|782
1000819|"Flemming Elsborg"|"Dansk Ejendomsmæglerforening (uddannelsesråd)"|""|"Flemming Elsborg, 2. kreds"|783
1000834|"Flemming Engelhardt"|"Byggesocietetet (Lejeudvalget )"|""|"Flemming Engelhardt, DATEA A/S"|784
1000821|"Flemming F. Bentzon"|"Dansk Ejendomsmæglerforening (bestyrelse)"|""|"Flemming F. Bentzon, Statsaut. ejendomsmægler & valuar Nybolig Nykøbing F, Bestyrelsesmedlem"|785
1000140|"Flemming H. Tomdrup"|"DI (Udvalg for Transport og infrastruktur)"|"Formand"|"Flemming H. Tomdrup Koncernchef / CEO (Formand) Solar A/S"|786
1000846|"Flemming Haugaard"|"Landbrug & Fødevarer (Erhvervsfjerkræsektionen – bestyrelse)"|""|"Flemming Haugaard, OBSERVATØR, Brancheudvalget"|787
1000918|"Flemming Hjort"|"Dansk Værktøjsmaskinforhandler Forening - DVF (bestyrelse)"|""|"Flemming Hjort, A-V-N MASKIN A/S"|788
1000131|"Flemming Hynkemejer"|"DI (Udvalg for Medieindustri)"|""|"Flemming Hynkemejer Adm. direktør Triax A/S"|789
1000952|"Flemming Haahr"|"Brancheforeningen for Sæbe, Parfume og Teknisk/Kemiske artikler (bestyrelse)"|""|"Flemming Haahr, Adm. Direktør Allison A/S"|790
1001034|"Flemming Jacobsen"|"Danske Speditører (Fagudvalg Søfragt)"|""|"Flemming Jacobsen, DHL Global Forwarding (Denmark) A/S"|791
1000121|"Flemming Jensen"|"DI (Hovedbestyrelse)"|""|"Flemming Jensen Koncerndirektør og COO SAS Danmark A/S"|100792
1000125|"Flemming Jensen"|"DI (Udvalg for Erhvervspolitik)"|""|"Flemming Jensen Koncerndirektør og COO SAS Danmark A/S"|100792
1000944|"Flemming Jensen"|"Professionel Elektronik (bestyrelse)"|""|"Flemming Jensen, NOHAU DANMARK A/S, Formand"|200792
1000728|"Flemming Kjærulf"|"Dansk Aktionærforening (repræsentantskab)"|""|"Flemming Kjærulf, Civilingeniør"|793
1000730|"Flemming Kjærulf"|"Dansk Aktionærforening (Nomineringsudvalg)"|""|"Flemming Kjærulf,"|793
1000731|"Flemming Kjærulf"|"Dansk Aktionærforening (Generalforsamlingsudvalg)"|""|"Flemming Kjærulf,"|793
1000808|"Flemming Kosakewitsch"|"Forsikringsmæglerforeningen i Danmark (bestyrelse)"|"Direktør"|"Flemming Kosakewitsch, direktør"|794
1000829|"Flemming Kristensen"|"Byggesocietetet (Netværksgruppe7 i Århus)"|""|"Flemming Kristensen, Brabrand Boligforening"|795
1001066|"Flemming Larsen"|"InvesteringsForeningsRådet (Investeringsudvalget)"|""|"Flemming Larsen, Jyske Invest"|796
1000144|"Flemming Munck"|"Danske Malermestre (Bestyrelse)"|""|"Flemming Munck Bomhusvej 24 2100 København Ø"|797
1000119|"Flemming Møller Pedersen"|"DI (Udvalg for design)"|"Formand"|"Flemming Møller Pedersen Designdirektør (Formand) Bang & Olufsen Operations A/S"|798
1000991|"Flemming Nielsen"|"Hanstholm Fiskeriforening (bestyrelse)"|"Næstformand"|"Flemming Nielsen, Næstformand"|799
1000995|"Flemming North Larsen"|"Margarine Foreningen"|""|"Flemming North Larsen, Senior Manager Margarinefabrikken Grønvang A/S"|800
1000988|"Flemming Nør-Pedersen"|"Dansk Gartneri (bestyrelse)"|"Sekretariatschef"|"Flemming Nør-Pedersen, Sekretariatschef"|801
1000882|"Flemming Odde"|"Dansk Firmaidrætsforbund (forbundsstyrelse)"|""|"Flemming Odde, Forbundsstyrelsen"|802
1000947|"Flemming P. Brüggemann"|"Vikarbureauernes Brancheforening (VB) (bestyrelse)"|""|"Flemming P. Brüggemann, VIP Vikar, Formand"|803
1000144|"Flemming Riis"|"Danske Malermestre (Bestyrelse)"|"Næstformand"|"Flemming Riis Næstformand Mågevej 6"|804
1000848|"Flemming Skov"|"Landbrug & Fødevarer (Økologisektionen – bestyrelse)"|""|"Flemming Skov,"|805
1000149|"Flemming Skøtt"|"Dansk Byggeri (Bestyrelse)"|""|"Adm. direktør Flemming Skøtt Munck Forsyningsledninger A/S"|806
1000117|"Flemming Steen"|"DI (Udvalg for arbejdsmarkedspolitik)"|""|"Flemming Steen Koncenøkonomidirektør MT Højgaard a/s"|807
1000831|"Flemming Strøm"|"Byggesocietetet (Boligudvalget )"|""|"Flemming Strøm, KAB"|808
1000836|"Flemming Strøm"|"Byggesocietetet (Københavnsudvalget )"|""|"Flemming Strøm, KAB"|808
1000853|"Flemming Sundø"|"Dagligvareleverandørerne (bestyrelse)"|""|"Flemming Sundø, Nordisk Kellogg’s ApS, Adm. direktør"|809
1001083|"Flemming Sørensen"|"Danske Specialmedier (Aktivitetsudvalg – Idé-Gruppen)"|""|"Flemming Sørensen, Konsulent"|810
1000100|"Flemming Werner Jensen"|"Arbejdsgiverforeningen for Transport og Logistik (ATL) (Bestyrelse)"|""|"Flemming Werner Jensen Adm. direktør Sax-Trans ApS"|811
1000733|"Flemming Wisler"|"Dansk Aktionærforening (Kommunikationsudvalg)"|""|"Flemming Wisler,"|812
1000910|"Florian Schönharting"|"Dansk Venture- og Kapitalfondsforening - DVCA (bestyrelse)"|""|"Florian Schönharting, Partner, Nordic Biotech Advisors"|813
1000868|"Frands Ellersgaard"|"Brancheforeningen Værktøj og Værktøjsmaskiner – VOV (Bestyrelse)"|"Næstformand"|"Frands Ellersgaard, adm. Direktør Lindlarsen A/S, Næstformand"|814
1000124|"Frands Grex"|"DI (Udvalg for Energi- og Klimapolitik)"|""|"Frands Grex Direktør Aalborg Portland A/S"|815
1000113|"Frank A. Bræmer"|"Grafisk Arbejdsgiverforening (Repræsentantskab)"|""|"Bogtrykker Frank A. Bræmer PrintNord ApS, Vrå"|816
1000828|"Frank Bo Lassen"|"Byggesocietetet (Netværksgruppe6 i Aalborg)"|""|"Frank Bo Lassen, NCC Construction A/S"|817
1000107|"Frank Bunde"|"DS Håndværk & Industri (Hovedbestyrelsen)"|""|"8300 Odder"|818
1000112|"Frank Einar Mortensen"|"Tekniq - Installatørernes Organisation (Bestyrelse)"|""|"Medlem, VVS-installatør Frank Einar Mortensen E. Mortensen & Søn VVS- & Ventilationsteknik A/S"|819
1000969|"Frank Kristensen"|"VP Securities A/S (bestyrelse)"|""|"Frank Kristensen, Bankdirektør"|820
1000899|"Frank Lajer"|"Dansk Håndbold Forbund (Udvalget for professionel håndbold)"|""|"Frank Lajer, Bjerringbro-Silkeborg Elitehåndbold A/S, V. Ringvej 7, 8850 Bjerringbro"|821
1001073|"Frank Minck"|"Foreningen for Danmarks Fiskemel- og Fiskeolieindustri (bestyrelse)"|""|"Frank Minck, Sekretariatsleder, (Sekretær), Foreningen for Danmarks Fiskemel- og Fiskeolieindustri"|822
1000700|"Frank Nielsen"|"Danmarks Biavlerforening (bestyrelse)"|"Næstformand"|"Frank Nielsen, Næstformand for Danmarks Biavlerforening"|823
1000122|"Frank Norman Larsen"|"DI (Internationale markedsudvalg)"|""|"Frank Norman Larsen Direktør, Overseas Aalborg Portland A/S"|824
1000699|"Frank R. Hansen"|"Autobranchens Handels- & Industriforening i Danmark (AUTIG) (bestyrelse)"|""|"Frank R. Hansen, Direktion"|825
1000784|"Frank Sørensen"|"De Samvirkende Købmænd DSK (bestyrelse)"|""|"Frank Sørensen, Adm. direktør SuperBest"|826
1000977|"Frank Tousgaard"|"Dansk Akvakultur (Skaldyr)"|""|"Frank Tousgaard,"|827
1000702|"Frants Erich lensgreve Bernstorff-Gyldensteen"|"Hedeselskabet (bestyrelse)"|"Formand"|"Frants Erich lensgreve Bernstorff-Gyldensteen, Formand"|828
1000703|"Frants Erich lensgreve Bernstorff-Gyldensteen"|"Hedeselskabet (repræsentantskabet)"|""|"Frants lensgreve Bernstorff-Gyldensteen, Valgt af repræsentantskabet 	"|828
1001004|"Freddie Fjeldsted"|"Brancheorganisationen ForbrugerElektronik (BFE) (bestyrelse)"|"Næstformand"|"Freddie Fjeldsted, (næstformand), YouSee		"|829
1001091|"Freddie Madsen"|"Dansk Fjernvarme (bestyrelse)"|""|"Freddie Madsen, Udvalgsformand, bestyrelsesformand Esbjerg Forsyning"|830
1001020|"Freddy Christensen"|"IT-Brancheforeningen (Udvalget for Sundheds IT)"|""|"Freddy Christensen, Novax A/S  frc@novax.dk"|831
1000857|"Freddy Lauridsen"|"Dansk Erhverv (bestyrelse)"|""|"Freddy Lauridsen, Adm. direktør Silvan-kæden"|832
1001012|"Freddy Lykke"|"IT-Brancheforeningen (hovedbestyrelse)"|""|"Freddy Lykke, CSC Scandihealth A/S  flykke@csc.com"|833
1001020|"Freddy Lykke"|"IT-Brancheforeningen (Udvalget for Sundheds IT)"|""|"Freddy Lykke, CSC Scandihealth A/S - Formand  flykke@csc.com"|833
1001040|"Frede Andersen"|"De Danske Skovdyrkerforeninger (hovedbestyrelse)"|""|"Frede Andersen, Kolding - 7582 2392 eller frede.b@andersen.mail.dk"|834
1000807|"Frede Lorenzen"|"Fjerkræafgiftsfonden (bestyrelse)"|""|"Frede Lorenzen, Gårdejer"|835
1000731|"Frede Lund"|"Dansk Aktionærforening (Generalforsamlingsudvalg)"|""|"Frede Lund,"|836
1000776|"Frederik Lewinsky"|"Den Danske Finansanalytikerforening (DDF) (Netværk for Finansiel Kommunikation)"|""|"Frederik Lewinsky, Nykredit Bank"|837
